temperatura Inverno; temperatura Primavera; temperatura Verão; temperatura Outono
10,29757;21,28161;38,83514;8,58745
6,63575;12,98462;27,19659;19,37051
6,12629;13,67861;22,35853;21,29231
13,77973;23,09626;32,27163;13,62761
8,98956;17,55575;19,50768;13,81865
5,59718;14,00297;24,27498;7,87608
7,20171;26,6807;40,74879;10,02751
3,80106;22,38316;39,30228;20,6688
14,78812;20,78096;45,04343;11,50273
14,87774;16,26773;35,15152;21,05411
3,44697;26,54356;27,39086;7,86346
14,63226;27,66924;15,47436;17,24363
10,88305;21,64374;41,47478;10,27341
12,75106;19,35554;30,59968;17,54674
7,84325;20,21258;35,6334;16,32995
6,02188;12,45593;24,30242;10,75216
5,22353;22,24249;14,42895;23,50553
9,66777;24,81958;29,8715;10,26899
13,40723;18,43916;28,33044;19,73764
2,04766;22,55396;46,29127;26,74413
11,61766;16,73269;12,94983;8,57868
14,61924;27,00986;44;8,85896
3,40743;21,49716;35,03853;18,44459
12,60095;22,73147;19,99369;13,45606
2,09109;17,55202;39,10249;8,71819
5,16491;25,77114;30,17813;9,0014
2,80359;15,99743;25,05736;15,33677
12,52133;24,89032;30,70805;19,52234
11,336;27,73713;25,00462;16,79185
8,40057;27,24812;23,85931;15,66853
6,29135;28,88694;17,83485;19,0742
11,79746;12,77202;35,20182;21,8144
4,06528;15,15638;44,21958;18,75751
14,05439;28,60275;16,88841;12,43758
4,33256;19,08391;26,04825;8,79264
13,33105;17,80833;45,39129;11,24775
10,86255;24,96797;18,01717;20,19156
2,76705;28,58217;29,79688;18,31724
14,34584;27,3695;14,46408;18,90367
4,9609;14,18595;26,03233;20,50631
6,86353;26,64188;27,67406;10,5745
13,05935;21,63213;35,27742;12,29245
12,60521;25,99492;35,03782;13,51527
3,30997;15,20508;29,84052;6,58138
9,39113;19,09612;20,76845;8,00971
9,05453;23,52786;34,15347;18,27701
13,6945;22,40607;10,58563;12,64782
4,8978;23,79088;20,21784;14,30804
7,92295;17,75371;14,10456;29,0319
3,88506;17,48317;23,81357;18,52243
5,2006;25,9635;45,11926;17,38024
11,55894;22,22903;48,552;22,87354
14,30666;22,33558;28,03829;28,85087
14,48316;12,7311;30,29584;22,93154
11,55188;27,89647;17,61093;9,93279
6,3456;12,46033;45,37908;9,80189
4,50353;22,98294;13,3162;13,28064
7,8577;18,26435;41,51733;25,53581
4,66333;21,49581;16,38345;11,13697
10,01175;15,75893;29,13417;6,76911
9,53564;19,12145;26,49463;20,36761
3,64446;21,21803;41,4113;15,14001
14,33589;15,7171;40,02455;16,32724
2,876;17,00573;39,39366;7,66109
9,739;16,67136;29,06962;14,36541
13,68291;24,12778;36,48612;7,24618
5,17491;21,99761;15,72006;24,18998
8,34216;28,65865;50,15416;6,97759
10,88309;18,36511;22,33999;10,52848
8,61938;25,00285;18,02775;23,81139
12,14128;18,8894;53,38404;9,23978
13,61898;17,34581;29,4835;21,60706
3,20615;26,99712;46,50216;7,45377
5,06503;15,15775;35,17045;17,4448
10,72877;24,87596;22,66495;14,07503
3,2246;21,23515;36,15366;13,31245
11,93669;25,4004;46,81231;14,89101
2,64655;27,63807;55,5505;6,94617
5,17193;23,07065;40,67495;10,44857
4,68628;29,17612;19,21085;11,14142
8,42261;17,82061;19,05511;6,08727
12,37833;10,80151;20,91472;17,7191
14,03176;29,07304;47,18295;12,55977
6,45269;22,28792;27,70075;11,91238
14,57328;22,14025;28,41593;8,32792
12,15691;23,71628;37,13139;22,02782
6,97959;16,6826;29,85907;9,38388
9,42339;24,78191;19,36881;6,62032
11,93331;20,09434;34,92896;17,7704
5,83179;25,66572;8,96448;6,49243
8,60461;28,23927;28,91609;8,30631
2,6694;21,57518;24,16752;9,16982
3,35288;13,81596;25,82238;13,98525
6,24141;14,17011;11,91681;22,38475
14,60679;29,77664;38,50129;11,43688
13,8688;21,68298;10,36827;17,10326
13,89589;29,73134;18,51792;17,2269
9,8187;25,00597;11,74127;12,21092
12,80407;20,00259;53,17888;9,06417
2,71265;18,46455;28,11639;12,38441
12,33538;21,10092;25,57398;29,2898
9,86791;15,76155;26,42372;27,97413
3,98146;12,07087;39,42546;6,06105
9,04952;24,5403;9,70615;26,61074
9,32493;26,07675;32,62728;8,22496
2,39255;24,46188;51,46246;9,4689
9,73951;21,04112;42,97114;28,02763
10,83047;23,59738;23,52614;9,91106
7,10502;25,54105;32,06119;6,19192
6,41393;27,74997;17,05101;12,37507
12,16097;26,95016;24,65175;14,91878
3,99181;28,35654;22,54842;15,91346
14,4055;27,37688;29,32412;22,49179
12,06066;22,50916;26,6181;24,76611
9,30635;13,3155;0,30551;19,39066
13,26943;18,68508;18,18064;17,31509
10,0379;21,72383;28,0378;12,78807
4,33143;22,58174;35,98824;14,67053
7,27332;16,5012;24,77289;9,18413
4,57583;22,20886;29,9077;20,19722
8,5359;18,89058;26,79323;29,9059
8,3368;24,80815;21,07785;27,72373
12,80931;27,87194;32,5788;18,45244
7,99041;19,80055;10,14739;21,3586
3,09759;17,04295;13,83969;29,36086
9,01022;29,42654;33,92534;22,29169
4,25301;15,94201;20,62435;17,5128
5,61339;22,00238;16,78604;6,99566
4,00994;18,53719;22,31433;8,40666
4,74442;21,29454;26,54907;12,25557
14,89788;16,06137;22,67104;19,7949
7,51543;19,77812;25,07747;11,40684
3,69406;16,42574;35,31244;21,75041
8,15628;24,93016;22,07184;10,36053
3,7193;29,00211;22,10544;15,44288
7,77749;28,98243;42,02666;6,06207
3,4988;22,22569;42,30838;12,77412
3,21172;20,06503;28,28772;10,88077
11,78683;28,901;42,91832;22,84919
2,15966;14,36149;38,99322;11,1141
10,39106;22,51029;33,65584;14,77728
4,2515;22,25587;36,69814;10,68733
10,59457;25,09629;31,30692;18,60527
9,26265;18,9939;28,61967;28,14749
11,74268;17,25971;47,57385;7,28463
10,05006;23,10876;20,40312;11,4028
13,98427;14,26529;18,21782;15,79732
4,1523;16,77903;22,95005;15,71763
12,49704;21,18933;31,13318;9,05835
13,91107;24,83586;28,15331;18,32429
2,31036;28,37814;34,03631;18,27952
3,30492;20,72608;34,57936;23,42418
11,11241;18,46268;20,35697;17,73415
5,95708;20,18538;23,31326;22,22321
13,00007;26,48032;38,77881;14,35075
10,40045;14,1156;30,239;20,08616
13,82497;28,29037;27,98878;25,12931
9,20516;25,2635;40,7551;9,21461
5,69875;28,28211;33,35969;13,91838
2,94049;22,43111;25,46808;8,51279
8,95106;17,91788;30,73621;6,29569
2,73594;12,19166;26,91717;12,95843
10,75718;25,30859;21,80275;17,55325
10,89969;24,99597;17,53627;7,29848
11,15592;22,41175;26,15851;19,74021
13,26112;10,15273;22,84477;26,29671
2,91682;22,14203;27,89192;10,43329
13,63178;28,85452;12,16049;14,53668
7,85597;15,44181;40,69493;22,55906
10,6721;21,2781;11,36268;8,602
2,67856;28,40871;14;16,04758
2,55571;15,66539;25,59245;25,18727
14,7491;28,94314;45,03717;9,7319
6,36675;19,16274;29,15483;25,54559
8,39103;28,69454;28,19006;7,11408
3,0823;20,37528;16,80104;13,24563
5,36934;27,79127;31,91297;10,44037
3,65346;15,2539;49,39884;13,34612
10,33699;15,12285;21,12583;17,67505
10,829;22,60967;24,87568;14,25746
3,3761;10,71319;31,88038;10,51865
2,9782;19,29334;29,8308;11,89931
4,20199;16,79765;44,5404;25,17025
7,51606;22,51027;13,92889;26,08749
4,61926;29,12295;38,57547;20,36413
12,54746;26,3572;15,40024;9,44215
10,86498;29,3306;36,74596;22,50655
4,3289;18,63672;22,69382;29,68857
4,55765;27,98828;37,91829;26,18643
6,89511;21,20546;34,24041;15,31832
14,98852;28,81987;27,90146;13,52916
2,70945;27,8892;28,63827;23,45506
5,54363;18,25337;30,59492;16,02428
3,48482;19,50892;27,89361;12,35626
14,36861;24,9865;37,44628;17,36388
9,66345;16,2157;34,29794;18,25339
10,61481;26,83333;10,93547;19,7565
3,23466;24,9828;38,172;9,0506
13,00463;23,6076;24,08702;26,8188
2,1668;21,85261;25,14442;19,11326
10,18703;22,43976;26,02256;12,68713
5,31126;24,94002;32,68489;15,96098
8,72362;16,33953;42,59614;19,93486
13,04054;24,51114;32,72517;29,99572
6,24288;18,95972;31,61057;10,68367
8,46768;27,89896;41,53024;16,95584
3,6585;22,9208;19,84326;12,94773
3,9812;16,00052;26,74395;19,15819
12,59143;19,08095;28,51227;10,39733
5,15739;17,49142;29,69865;8,67361
9,62731;26,22052;22,52578;15,96582
6,28188;11,78389;34,40711;10,74263
5,53763;25,52031;40,78547;9,70813
5,64557;16,48013;42,93978;23,09097
8,48864;28,29427;29,66403;9,44343
13,1595;24,7038;11,15162;11,24806
2,84365;15,85987;22,16641;15,84997
6,35993;16,16467;27,64612;16,0508
2,85801;21,46216;14,09309;18,9291
4,51458;27,93664;36,98611;6,95763
14,18985;26,31421;48,95676;17,01079
7,77462;29,83083;15,13097;16,55186
5,16086;27,43216;21,3745;20,9321
12,3924;28,89141;35,66784;11,98653
2,44919;27,66833;31,4854;9,86656
3,20407;19,18047;14,11485;10,291
11,86985;12,80863;29,14662;7,52139
9,38799;27,18819;36,66429;7,15314
12,977;24,33532;41,39334;10,82823
2,9977;27,86759;33,39361;12,79255
5,92741;12,28892;17,4359;17,71223
12,74233;27,32069;19,14135;7,82143
7,78647;27,64317;39,59639;6,4136
4,77205;20,361;40,80387;12,45003
5,7892;29,74579;37,5876;8,76623
11,91326;21,05395;32,72336;9,59779
9,931;18,48198;39,58597;13,94356
6,49354;16,35483;25,25045;16,63365
4,2398;29,42104;18,09319;12,59823
6,97179;24,78758;29,42657;17,5505
7,64538;21,98412;31,3196;20,32699
9,43319;16,85557;12,90612;7,90089
3,12917;18,10432;29,87259;13,77012
2,27358;21,36916;30,92111;12,67151
3,81102;19,16623;39,33658;20,6008
5,25378;17,88762;38,62904;14,48005
3,45662;17,30934;41,98095;6,69948
2,48473;14,87919;27,97009;10,11377
10,10401;28,35952;43,28133;18,7578
3,7605;24,4791;17,01006;7,9879
14,78865;14,9807;38,98272;12,55304
9,20249;17,29432;26,98348;17,66607
3,76013;24,81068;43,9218;17,73203
14,14791;26,2158;37,59381;18,32766
6,83786;18,87112;38,59523;8,53631
2,10378;19,95865;26,71723;23,04798
4,24748;13,54543;13,54829;7,49993
10,90898;19,18302;31,12953;9,67816
6,15218;17,05224;26,756;27,06412
12,77804;23,0155;34,24448;10,73643
6,27479;17,47154;32,90426;16,4111
9,93628;17,55403;29,38274;25,49735
7,26696;23,29435;21,26201;21,18942
12,1558;14,08502;38,32469;6,24082
6,4828;24,1645;23,08409;8,60791
8,74088;16,42806;49,37028;22,78522
9,35712;27,7171;54,13644;6,83282
6,7305;27,95317;44,04667;14,52623
2,86601;23,07586;27,63318;13,51243
7,14131;28,77222;20,52731;20,84876
5,39221;17,8459;49,13948;21,40559
4,58856;26,12875;35,76983;11,79646
6,45361;20,59587;19,47108;23,15697
9,2329;28,4785;16,80058;14,51171
13,04457;22,8242;20,62859;8,40851
8,61112;24,0613;28,59498;11,27261
4,0412;13,48392;45,14967;9,36548
9,93707;27,61096;33,06442;20,36678
10,12878;20,42078;38,08756;23,27635
10,09108;28,708;41,55932;18,74283
7,80876;27,49211;26,38262;6,45482
8,95069;17,88741;35,67326;8,39467
14,16039;21,73744;35,74464;21,91992
14,41977;17,04892;27,59143;11,79454
3,48547;13,56271;36,89364;8,95995
6,4674;18,31644;36,52024;28,96436
4,71276;10,60883;39,05024;9,75906
2,44044;27,7972;33,34261;27,97681
11,32862;27,4438;35,27858;16,5901
4,62565;20,69235;32,48639;17,46779
8,62265;16,72793;42,49068;14,25968
14,53899;17,60618;12,9274;18,16238
4,57136;21,89549;33,49465;13,03311
6,25273;14,00907;33,77566;9,93522
7,7488;22,53415;28,21846;10,0637
4,54752;16,78622;23,21821;10,02979
12,16302;25,69859;35,0935;17,59842
11,11926;22,0912;35,40497;16,93634
12,92217;25,51414;37,42182;19,89829
9,0722;29,96687;30,96743;13,23811
13,57602;19,68442;34,12206;19,59862
7,59569;23,99255;23,398;13,13943
10,94244;21,1546;36,56894;24,79446
4,92453;24,96936;24,52671;17,87494
8,18474;24,03357;23,86295;24,04196
9,31006;21,61746;27,70999;21,26625
3,9722;26,71226;21,27063;6,07488
2,93361;25,38938;34,45052;28,12901
11,23446;14,16586;41,83733;27,34355
6,14577;29,21133;42,10686;12,42997
7,4589;20,59441;30,65508;9,30293
4,54682;27,03201;31,07872;6,5783
6,7124;24,14614;20,42813;22,45659
14,68848;15,00169;21,36368;13,72654
5,77398;18,12254;18,01877;17,74415
3,28764;28,38837;29,05732;17,45503
8,50809;11,70254;19,1609;22,47061
3,03309;26,81193;12,42501;16,20835
3,09945;23,78853;34,39353;16,01213
10,33169;13,09388;41,93753;12,6561
7,10677;14,48594;20,26611;12,02957
5,69466;15,81706;32,68842;7,76358
8,71437;17,02743;26,60235;9,97568
6,18535;22,79886;19,42564;6,82122
9,69722;24,37971;11,97865;8,75483
13,23153;18,89174;18,18496;14,61182
9,73689;29,60277;9,59362;15,83732
2,70694;18,44227;15,18684;22,53294
4,99429;19,22792;34,43059;15,01661
13,08434;20,95403;36,321;17,11926
8,56205;29,92726;29,41409;11,98328
14,49565;18,00506;47,71722;6,94417
8,27663;28,14832;35,04482;19,44432
13,06127;11,78793;33,57508;11,25874
10,70157;18,02604;20,43116;19,19721
11,99166;15,62089;34,41751;9,70168
2,12176;14,88497;48,84145;18,14499
11,85814;19,79193;35,12116;16,47519
13,47865;23,38929;30,3677;8,40134
2,47889;24,91572;17,35864;18,86173
14,08287;17,80234;28,60299;12,13576
2,99096;13,61328;37,79721;12,79703
8,05929;17,6576;29,45065;14,84025
12,56202;23,29779;9,90929;21,477
9,09615;28,83451;30,55279;20,39194
14,5392;26,52778;21,32543;8,76403
13,61128;16,93584;21,47197;22,93998
5,60052;18,51829;32,61121;9,47995
9,73244;28,79991;20,84974;31,31999
14,14974;21,03909;24,72012;25,62624
4,9725;21,5401;18,41926;9,06074
10,02468;26,98522;29,21604;6,90364
5,51329;25,01043;12,14259;10,95008
13,83451;21,82834;32,67184;8,65249
2,08278;15,0763;27,9441;13,5038
10,43242;19,09366;35,81733;15,59495
10,39961;27,52379;36,72126;16,91389
7,20908;25,74703;26,77943;8,51757
13,58624;14,43499;27,20291;11,03395
10,87048;13,49374;27,07378;11,35337
7,22954;18,76182;30,75303;18,68538
10,9649;14,96242;43,88564;8,84562
9,4462;27,40634;44;10,75585
8,22595;25,73644;35,43747;6,80192
3,0453;29,12757;34,93645;8,4836
11,57574;17,63549;22,96475;20,86008
6,93151;27,55487;35,50528;9,35994
12,55841;22,58687;45,31553;10,13495
6,42426;15,2854;32,26758;10,94565
14,93761;17,1834;24,69796;10,50033
9,15499;27,27972;16,9272;23,36111
12,70908;22,28475;32,94207;9,83252
7,58558;25,7352;35,3908;7,6797
3,74435;29,78982;45,90965;10,08535
14,3621;19,77162;41,12237;9,44691
10,27031;26,61495;24,23779;22,10504
4,47198;27,64434;39,45803;12,21437
10,559;17,41553;37,37443;6,44456
12,07328;28,65177;20,14213;6,49352
12,34826;16,47202;28,04773;26,35327
13,21985;29,88501;41,7491;23,61095
12,34251;26,7754;33,05963;15,438
6,67312;19,87487;33,07386;18,28856
3,76677;23,87965;40,35754;16,36025
6,72327;24,42912;27,03998;10,38047
6,87251;24,05675;16,40113;24,80105
10,10865;22,22179;31,89886;8,78134
9,66517;29,78795;49,3031;20,2702
4,15749;24,43173;14,35013;17,1968
11,97717;20,57596;20,95655;9,90618
7,62954;19,85937;26,04871;10,01071
3,52327;24,46767;38,63072;6,78985
12,12402;25,11343;41,8921;14,32086
5,31535;27,86499;37,33045;23,09782
2,57487;24,23905;24,30275;16,73413
8,98745;21,07958;43,37332;14,19162
4,2724;27,34667;24,99864;10,00721
7,2903;19,39118;10,98564;9,73235
7,04423;14,43489;53,8389;13,18329
3,49419;25,91183;48,40763;12,66999
9,97682;14,47522;34,31111;14,6492
4,3221;20,48221;39,34595;24,60816
11,15493;17,59257;53,13771;11,44096
4,59025;22,84994;35,65346;11,00619
14,90095;16,71226;36,59842;17,32011
8,12291;21,05217;17,53757;12,67209
14,48285;27,29021;26,16655;16,93671
3,03374;26,87106;26,26438;16,05201
5,07045;20,71074;24,40685;10,31211
12,81936;18,40557;38,06906;11,86958
9,21123;29,79408;26,26172;17,10143
8,22575;14,56735;35,22154;28,07555
5,38983;20,82855;23,19206;31,52315
12,74763;24,73296;9,42852;7,97499
2,46937;26,56048;30,25477;20,1095
12,26949;19,61132;20,85767;18,37131
11,3892;18,53401;25,00442;9,38976
6,50984;15,90421;42,70006;22,9362
14,33292;17,32963;31,02257;16,44449
4,98219;26,98347;28,03747;21,7499
3,36626;23,13865;10,26869;13,68726
12,42393;27,82114;35,95484;15,60258
7,97765;24,91181;39,89466;11,58504
9,4946;13,81532;42,1977;23,64497
10,99974;29,91742;19,28919;9,96701
10,82466;22,87522;22,74664;10,92996
3,53043;16,77453;31,46169;24,79103
2,66355;18,919;32,30314;27,83321
9,95348;15,9296;23,64447;14,01436
7,77978;10,85623;10,09048;17,05167
14,24413;20,61825;22,9378;10,14553
4,39546;15,67217;16,8206;12,25059
7,96323;20,7743;37,26316;29,68049
3,67286;24,86106;38,61414;28,272
2,73753;24,31597;25,57731;12,37933
5,13161;16,80419;31,01541;13,48629
14,40389;13,49646;36,46492;9,31665
4,77373;20,33301;21,3928;18,41042
5,18667;29,68728;33,31902;13,0413
13,18091;15,34735;19,55797;7,93209
11,37029;22,98425;43,58052;14,59178
10,36699;29,74352;47,12297;9,14179
3,5309;21,57805;33,19678;19,43494
3,30151;12,54242;32,685;27,66382
8,87272;13,23858;30,16779;23,83004
13,24125;27,68095;32,67921;13,50727
2,96494;15,61197;49,50015;24,40314
14,9296;28,4901;24,66938;9,98205
5,84644;25,98691;29,59093;10,75206
12,35371;29,82558;8,28943;23,58906
13,22749;25,89357;23,7258;8,00891
2,73244;21,06299;21,74437;14,98264
11,30473;23,88924;30,54263;19,48255
9,27928;16,45337;26,65861;16,01218
6,46733;22,31129;11,20902;8,47069
13,72174;26,35109;45,06496;10,23353
10,12581;20,97013;24,92578;8,77884
9,62823;18,30573;27,39349;21,20162
14,76982;12,23756;17,15193;11,64967
6,00469;24,49568;42,61121;25,75508
3,65673;23,75759;33,28498;13,8415
7,97288;21,66917;10,42141;10,55413
11,75955;20,51458;29,5744;17,48779
9,37188;24,96768;18,41379;18,53654
2,54057;23,7344;21,36103;16,79495
7,96167;16,37747;53,60975;19,6652
6,0592;26,72467;24,78561;28,43332
14,32461;16,30733;43,82033;8,81221
7,92847;21,15848;16,5958;13,34913
6,21785;23,97275;49,5188;11,65231
12,78018;19,79885;43,09203;8,25678
7,82887;17,00405;31,28389;22,13044
2,52396;25,5657;16,57473;10,7982
4,31999;20,44318;38,78579;12,37694
5,64736;17,79208;21,93539;6,77805
12,04876;21,08267;41,25326;7,98305
5,72461;21,21222;15,08841;13,36964
13,64336;19,79127;29,87242;20,97611
13,81827;15,85774;23,47198;24,72572
10,55958;17,00242;28,82715;10,7495
2,47438;29,69864;29,99465;22,6083
8,10364;21,18058;19,89736;7,246
5,94629;18,5006;29,04973;11,0861
5,06876;25,67142;42,23579;31,59532
8,32039;17,40978;34,09275;7,95441
2,88831;15,53972;22,23269;10,88787
10,55804;27,54673;32,83343;8,39454
3,4827;17,73166;21,95811;24,73343
6,57831;29,20215;27,78191;21,26876
9,0867;29,45007;24,1065;16,92518
14,36668;28,06035;23,11916;22,82363
5,24817;22,77863;33,91437;16,73415
2,45373;14,86796;42,43009;19,82349
3,73543;19,11071;25,90258;8,96208
3,72609;23,10107;21,93599;8,88134
8,26909;16,84453;24,58883;14,25364
7,43971;24,36957;48,02978;12,86786
14,18444;13,92105;21,33505;18,54367
14,04504;13,46131;15,93616;17,4282
12,35289;23,2953;30,9036;8,69221
7,31631;16,86462;43,30492;6,68017
9,85706;20,64147;40,40184;19,14671
8,62596;15,33014;36,53136;6,31414
2,07504;22,26943;27,4686;15,16655
7,61348;28,94519;22,31002;25,0899
5,42826;19,42672;19,29223;13,30878
4,06966;19,60533;39,80649;16,57703
9,16639;15,91954;27,70659;10,96322
13,46639;25,86814;23,12928;20,94846
7,17643;27,78931;15,77785;15,37766
14,09549;14,91166;44,24303;24,95773
9,02482;17,01225;20,01071;18,54484
14,39079;18,76935;15,09003;10,70452
12,77679;15,16378;50,74288;16,50698
9,36553;17,98495;40,14688;23,90976
14,73121;26,87286;23,70286;18,6675
6,63593;18,50612;29,8239;6,62513
7,09841;19,76086;34,16268;26,97119
3,67194;27,99649;19,58484;10,39626
7,00904;21,29435;33,72163;15,46933
4,43368;18,6741;23,20284;10,83547
4,64222;15,73324;17,30614;11,12037
5,64848;24,10145;29,20118;13,70366
9,90819;28,75096;24,53404;12,48872
9,65477;20,69248;38,56365;16,91871
10,11356;29,57913;36,12267;11,10282
12,00007;15,86617;34,40489;14,04598
11,61506;20,20219;20,02277;13,17978
14,10692;17,71143;41,95078;10,45336
4,26067;26,47244;25,25708;21,84716
7,10857;28,46892;26,3592;18,35514
7,69481;29,82876;32,72206;8,563
13,96439;28,36262;33,93149;14,86824
10,52953;23,82809;34,16989;9,53243
10,76846;12,61717;27,78017;18,1594
13,25606;22,27462;34,39481;27,62535
7,60447;19,04607;30,52955;20,8601
11,28546;21,0452;27,11483;13,64558
8,73297;17,37739;25,66355;7,98182
10,99394;16,35152;39,59519;14,13871
13,44411;12,5129;24,60067;12,09937
13,33353;18,50572;35,90378;11,09795
6,70897;25,86599;30,5758;8,55807
5,81493;25,70349;29,32613;12,58712
10,21837;25,09498;34,14116;21,15146
13,23234;12,84635;8,01513;9,44035
11,42845;25,8002;19,88001;7,92185
6,77459;19,62421;46,06211;13,37042
5,52211;22,45143;34,19931;21,30078
11,43993;23,84881;12,08675;24,79064
9,44479;24,58173;32,08929;20,38888
10,36964;10,93807;24,9222;14,50786
9,34777;17,74554;23,38722;10,2549
10,65542;26,38681;25,97995;19,95044
10,35369;20,377;19,1773;12,60792
5,81592;22,94608;24,30367;10,19466
